step,lr,train_loss,val_loss,step_ms
0,3e-05,4.190341949462891,4.191228866577148,148.11549999990348
200,0.0029815877595936752,2.3075459003448486,2.3393588066101074,123.34089999990283
400,0.00283728956412876,1.905745267868042,2.0212225914001465,128.91560000002755
600,0.0025643301216947507,1.67624032497406,1.8349201679229736,131.91359999996166
800,0.002192288823281509,1.5609476566314697,1.7279589176177979,130.22430000000895
1000,0.0017614821163876488,1.4841339588165283,1.6819499731063843,129.87530000009428
1200,0.0013185945923599213,1.4259939193725586,1.6185121536254883,125.53219999995235
1400,0.0009116199865347239,1.3923492431640625,1.5856053829193115,123.03559999986646
1600,0.0005846603123148688,1.3402808904647827,1.5599801540374756,122.07160000002659
1800,0.00037314672370414325,1.3168514966964722,1.5367493629455566,124.02960000008534
1999,0.0003000018454242252,1.2968366146087646,1.502869725227356,128.17979999999807
