ffn,T,batch,n_params,fwd_ms,fb_ms,tokens_per_sec,peak_mb
relu,128,16,818048,1.109854318201542,4.006173461675644,511211.0145983026,79.697265625
gelu,128,16,818048,1.1018509976565838,3.982073161751032,514304.96548170794,92.4453125
swiglu,128,16,822848,1.236848533153534,4.616306629031897,443644.7065972942,102.75732421875
emlglu,128,16,822848,1.4099753461778164,5.199647508561611,393872.8532324189,115.44580078125
relu,256,16,834432,1.5810448676347733,4.5880647376179695,892751.1345723863,138.5498046875
gelu,256,16,834432,1.5849154442548752,4.574852529913187,895329.4064055276,164.2978515625
swiglu,256,16,839232,1.832548063248396,5.1468051970005035,795833.501214909,184.98486328125
emlglu,256,16,839232,2.112632617354393,5.724957212805748,715463.8624788234,207.48583984375
relu,512,16,867200,3.1716348603367805,9.027712512761354,907428.0985820038,256.2548828125
gelu,512,16,867200,3.1740888953208923,9.035475086420774,906648.5073166307,308.0029296875
swiglu,512,16,872000,3.577299416065216,10.11524349451065,809866.8118514045,349.43994140625
emlglu,512,16,872000,4.126600921154022,11.184010189026594,732474.2969241693,392.43994140625
relu,1024,16,932736,7.299452088773251,21.810305770486593,751204.5072825437,490.6650390625
gelu,1024,16,932736,7.320435252040625,21.832079626619816,750455.306146054,595.4130859375
swiglu,1024,16,937536,8.114537689834833,23.71853217482567,690767.872110974,678.35009765625
emlglu,1024,16,937536,9.177489206194878,25.81963734701276,634555.7755053276,764.35009765625
